"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.871835833E-1,2.624221249E-3,5.393992485E-3,1.029753149E-2,1.191724997E-2
6.972155833E-1,2.293871837E-3,1.000094061E-2,3.411850333E-3,1.081301918E-2
7.072475833E-1,-4.364914508E-3,4.141884344E-3,1.119566381E-2,1.271025463E-2
7.172795833E-1,3.377086809E-4,9.124004440E-3,2.017815650E-2,2.214767491E-2
7.273115833E-1,2.845364772E-3,1.553102704E-2,2.152477026E-2,2.669503018E-2
7.373435833E-1,-5.461299419E-4,9.534488115E-3,1.134769142E-2,1.483154820E-2
7.473765833E-1,1.209185924E-3,3.507415764E-3,7.156991959E-3,8.061428523E-3
7.574085833E-1,3.283325792E-3,1.043059219E-2,2.017932594E-2,2.295174671E-2
7.674405833E-1,-3.870637491E-3,1.312873503E-2,2.317193091E-2,2.691252311E-2
7.774725833E-1,-1.262984877E-3,7.930880086E-3,1.765274405E-3,8.222541181E-3
7.875045833E-1,7.795352591E-3,5.518127047E-3,-2.427179217E-3,9.854361830E-3
7.975365833E-1,9.731502738E-5,1.140087367E-2,3.110134006E-3,1.181788154E-2
8.075685833E-1,8.733501798E-4,1.042203150E-2,2.961614728E-3,1.086980418E-2
8.176005833E-1,6.539489441E-3,1.463302262E-3,1.284107029E-2,1.448444897E-2
8.276325833E-1,-2.956480142E-3,3.773948299E-3,1.612662077E-3,5.058076667E-3
8.376645833E-1,1.036989992E-3,3.617544416E-3,4.157370329E-3,5.607646913E-3
8.476965833E-1,-4.069753457E-3,2.728840727E-3,4.007096887E-3,6.329793865E-3
8.577285833E-1,9.973577466E-3,8.711867100E-3,1.598219454E-2,2.075570809E-2
8.677605833E-1,-1.181548694E-3,1.490585919E-2,7.748145461E-3,1.684085667E-2
8.777925833E-1,-6.832288764E-3,3.051378625E-3,1.358659029E-2,1.551085159E-2
8.878245833E-1,7.750255940E-4,2.471481012E-3,4.604682326E-3,5.283179194E-3
8.978565833E-1,6.918073813E-3,-1.268206257E-4,1.328487396E-2,1.497877515E-2
9.078885833E-1,1.383478632E-3,9.339492610E-3,2.076872528E-2,2.281403263E-2
9.179205833E-1,-3.577632601E-3,9.965437045E-3,1.193650603E-2,1.595586309E-2
9.279525833E-1,6.877791979E-3,2.335580757E-2,1.044078827E-2,2.649165584E-2
9.379845833E-1,1.209183183E-2,1.171707099E-2,2.136631072E-2,2.720333405E-2
9.480165833E-1,1.043038205E-3,1.346736191E-2,1.672654510E-2,2.149965293E-2
9.580485833E-1,-3.560132068E-4,6.174477004E-4,3.704211116E-3,3.772156818E-3
9.680805833E-1,-7.465158496E-4,2.085071420E-3,1.508055389E-2,1.524230673E-2
9.781125833E-1,-1.059845753E-2,-4.663885385E-3,-1.037062168E-2,1.554441774E-2
9.881445833E-1,7.413282730E-3,5.322418911E-3,9.686497450E-3,1.330838596E-2
9.981765833E-1,3.420086685E-3,1.327993124E-2,1.956829190E-2,2.389501234E-2
1.008208583E0,-9.852823326E-3,5.639073048E-3,1.238498747E-2,1.680074960E-2
1.018240583E0,-7.526928848E-3,3.848262755E-3,9.540317059E-3,1.274682053E-2
1.028272583E0,5.790593592E-3,4.748587785E-3,5.798099041E-3,9.470903473E-3
1.038304583E0,-2.928810935E-3,1.814006380E-2,5.647240877E-3,1.922319374E-2
1.048336583E0,-6.442462206E-3,-5.092988787E-3,1.013790250E-2,1.304687400E-2
1.058368583E0,-9.665872310E-3,9.769281233E-3,1.058696866E-2,1.734796382E-2
1.068400583E0,-6.757152043E-3,1.906258998E-2,9.538562894E-3,2.236125270E-2
1.078432583E0,9.045405071E-3,9.654228128E-3,1.058521450E-2,1.694314727E-2
1.088464583E0,3.016665350E-3,7.738689417E-3,1.133424282E-2,1.405178437E-2
1.098496583E0,-4.984056987E-3,1.665268745E-4,1.043552577E-2,1.156584426E-2
1.108528583E0,5.731765120E-3,2.241627879E-2,1.305098534E-3,2.317425227E-2
1.118560583E0,1.918544546E-3,4.667914482E-3,1.537642300E-2,1.618346759E-2
1.128592583E0,5.312291351E-3,5.720760478E-3,1.298198819E-2,1.514858268E-2
1.138624583E0,-2.215875462E-3,1.283414500E-2,2.001911223E-2,2.388284398E-2
1.148656583E0,3.183169384E-4,7.898720400E-3,1.762643158E-2,1.931792432E-2
1.158688583E0,4.128837744E-3,5.442944644E-3,8.495419621E-3,1.090161007E-2
1.168720583E0,5.044064038E-3,1.140737870E-2,-3.356301785E-4,1.247732016E-2
1.178752875E0,8.246186622E-3,9.153085202E-3,8.945655227E-3,1.522508818E-2
1.188784875E0,5.213770336E-3,-2.626943858E-3,-1.830763221E-3,6.118490755E-3
1.198817875E0,-1.614471059E-3,-1.586258244E-3,2.152067721E-2,2.163936874E-2
1.208849875E0,-4.259107313E-3,1.225384539E-3,-3.177961707E-3,5.453531240E-3
